unique_id,ds,y
Aceh | Belanja Hibah,2023-09-01,53261273867.0
Aceh | Belanja Hibah,2023-10-01,74268633435.78998
Aceh | Belanja Hibah,2023-11-01,32674910260.00006
Aceh | Belanja Hibah,2023-12-01,311664755584.5
Aceh | Belanja Hibah,2024-01-01,0.0
Aceh | Belanja Hibah,2024-02-01,0.0
Aceh | Belanja Hibah,2024-03-01,0.0
Aceh | Belanja Hibah,2024-04-01,50195610000.0
Aceh | Belanja Hibah,2024-05-01,161027128510.0
Aceh | Belanja Hibah,2024-06-01,14378520294.329987
Aceh | Belanja Hibah,2024-07-01,125491219263.00003
Aceh | Belanja Hibah,2024-08-01,448019190631.57
Aceh | Belanja Hibah,2024-09-01,72460598886.0
Aceh | Belanja Hibah,2024-10-01,49015708659.71997
Aceh | Belanja Hibah,2024-11-01,66438650303.0
Aceh | Belanja Hibah,2024-12-01,29978259718.97998
Aceh | Belanja Hibah,2025-01-01,0.0
Aceh | Belanja Hibah,2025-02-01,0.0
Aceh | Belanja Hibah,2025-03-01,16400000000.0
Aceh | Belanja Hibah,2025-04-01,0.0
Aceh | Belanja Hibah,2025-05-01,33094239000.0
Aceh | Belanja Hibah,2025-06-01,18554592174.33
Aceh | Belanja Hibah,2025-07-01,46424771982.78999
Aceh | Belanja Hibah,2025-08-01,31764008019.0
Aceh | Belanja Hibah,2025-09-01,35482813096.0
Aceh | Belanja Hibah,2025-10-01,42827742632.0
Aceh | Belanja Hibah,2025-11-01,38634138963.0
Aceh | Belanja Hibah,2025-12-01,63138679132.380005
Aceh | Belanja Hibah,2026-01-01,0.0
Aceh | Belanja Hibah,2026-02-01,0.0
Aceh | Belanja Hibah,2026-03-01,0.0
Aceh | Belanja Hibah,2026-04-01,0.0
Aceh | Belanja Hibah,2026-05-01,0.0
Aceh | Belanja Hibah,2026-06-01,52931155940.0
Aceh | Belanja Lainnya,2023-01-01,0.0
Aceh | Belanja Lainnya,2023-02-01,139745247641.0
Aceh | Belanja Lainnya,2023-03-01,95525650406.0
Aceh | Belanja Lainnya,2023-04-01,295931722013.0
Aceh | Belanja Lainnya,2023-05-01,0.0
Aceh | Belanja Lainnya,2023-06-01,104280962584.0
Aceh | Belanja Lainnya,2023-07-01,364550010182.0
Aceh | Belanja Lainnya,2023-08-01,122216346531.0
Aceh | Belanja Lainnya,2023-09-01,280884607296.0
Aceh | Belanja Lainnya,2023-10-01,248866797473.80005
Aceh | Belanja Lainnya,2023-11-01,458954301208.0
Aceh | Belanja Lainnya,2023-12-01,402747737228.49976
Aceh | Belanja Lainnya,2024-01-01,0.0
Aceh | Belanja Lainnya,2024-02-01,0.0
Aceh | Belanja Lainnya,2024-03-01,3664021636.0
Aceh | Belanja Lainnya,2024-04-01,256024390746.0
Aceh | Belanja Lainnya,2024-05-01,561173506580.0
Aceh | Belanja Lainnya,2024-06-01,118152361047.32996
Aceh | Belanja Lainnya,2024-07-01,408169626532.9701
Aceh | Belanja Lainnya,2024-08-01,760015271701.5999
Aceh | Belanja Lainnya,2024-09-01,79696701700.0
Aceh | Belanja Lainnya,2024-10-01,135609299173.7002
Aceh | Belanja Lainnya,2024-11-01,265423156697.0
Aceh | Belanja Lainnya,2024-12-01,356112354754.3999
Aceh | Belanja Lainnya,2025-01-01,0.0
Aceh | Belanja Lainnya,2025-02-01,897504000.0
Aceh | Belanja Lainnya,2025-03-01,203527547147.0
Aceh | Belanja Lainnya,2025-04-01,12227462766.0
Aceh | Belanja Lainnya,2025-05-01,333278389020.0
Aceh | Belanja Lainnya,2025-06-01,109444403758.32996
Aceh | Belanja Lainnya,2025-07-01,68851082954.79004
Aceh | Belanja Lainnya,2025-08-01,320346703240.98
Aceh | Belanja Lainnya,2025-09-01,502678400566.0001
Aceh | Belanja Lainnya,2025-10-01,47365622132.0
Aceh | Belanja Lainnya,2025-11-01,290729143213.0
Aceh | Belanja Lainnya,2025-12-01,311714664997.3999
Aceh | Belanja Lainnya,2026-01-01,0.0
Aceh | Belanja Lainnya,2026-02-01,0.0
Aceh | Belanja Lainnya,2026-03-01,0.0
Aceh | Belanja Lainnya,2026-04-01,0.0
Aceh | Belanja Lainnya,2026-05-01,0.0
Aceh | Belanja Lainnya,2026-06-01,805781549948.0
Aceh | Belanja Modal,2023-01-01,0.0
Aceh | Belanja Modal,2023-02-01,1572981291.0
Aceh | Belanja Modal,2023-03-01,37028205064.78
Aceh | Belanja Modal,2023-04-01,100066713837.39001
Aceh | Belanja Modal,2023-05-01,0.0
Aceh | Belanja Modal,2023-06-01,92597543640.44998
Aceh | Belanja Modal,2023-07-01,104292593535.95001
Aceh | Belanja Modal,2023-08-01,182723198909.69
Aceh | Belanja Modal,2023-09-01,108061130077.42004
Aceh | Belanja Modal,2023-10-01,200105338842.55994
Aceh | Belanja Modal,2023-11-01,173082055955.0
Aceh | Belanja Modal,2023-12-01,609013574513.1599
Aceh | Belanja Modal,2024-01-01,0.0
Aceh | Belanja Modal,2024-02-01,0.0
Aceh | Belanja Modal,2024-03-01,2438846031.0
Aceh | Belanja Modal,2024-04-01,71332547481.0
Aceh | Belanja Modal,2024-05-01,19301874488.0
Aceh | Belanja Modal,2024-06-01,19919703337.160004
Aceh | Belanja Modal,2024-07-01,120253454203.10999
Aceh | Belanja Modal,2024-08-01,64129361321.76999
Aceh | Belanja Modal,2024-09-01,78513399185.08002
Aceh | Belanja Modal,2024-10-01,62005170108.51001
Aceh | Belanja Modal,2024-11-01,165787871798.88
Aceh | Belanja Modal,2024-12-01,640735443221.69
Aceh | Belanja Modal,2025-01-01,9440000.0
Aceh | Belanja Modal,2025-02-01,36944500.0
Aceh | Belanja Modal,2025-03-01,27907378875.0
Aceh | Belanja Modal,2025-04-01,733302900.0
Aceh | Belanja Modal,2025-05-01,68765377363.71
Aceh | Belanja Modal,2025-06-01,49114147455.999985
Aceh | Belanja Modal,2025-07-01,55994401568.51001
Aceh | Belanja Modal,2025-08-01,105031835066.87997
Aceh | Belanja Modal,2025-09-01,77846627169.0
Aceh | Belanja Modal,2025-10-01,64549894644.23004
Aceh | Belanja Modal,2025-11-01,102414167986.29999
Aceh | Belanja Modal,2025-12-01,324909412662.06995
Aceh | Belanja Modal,2026-01-01,0.0
Aceh | Belanja Modal,2026-02-01,0.0
Aceh | Belanja Modal,2026-03-01,0.0
Aceh | Belanja Modal,2026-04-01,0.0
Aceh | Belanja Modal,2026-05-01,0.0
Aceh | Belanja Modal,2026-06-01,175032059328.0
Aceh | Belanja Pegawai,2023-01-01,112508956911.0
Aceh | Belanja Pegawai,2023-02-01,118461475549.0
Aceh | Belanja Pegawai,2023-03-01,216954030626.0
Aceh | Belanja Pegawai,2023-04-01,296997931036.0
Aceh | Belanja Pegawai,2023-05-01,0.0
Aceh | Belanja Pegawai,2023-06-01,295806740714.0
Aceh | Belanja Pegawai,2023-07-01,271162398674.0
Aceh | Belanja Pegawai,2023-08-01,161653974725.0
Aceh | Belanja Pegawai,2023-09-01,152765077479.0
Aceh | Belanja Pegawai,2023-10-01,217663675100.0
Aceh | Belanja Pegawai,2023-11-01,249286789609.0
Aceh | Belanja Pegawai,2023-12-01,444547837960.0
Aceh | Belanja Pegawai,2024-01-01,122609453382.0
Aceh | Belanja Pegawai,2024-02-01,117702170968.0
Aceh | Belanja Pegawai,2024-03-01,280884771990.0
Aceh | Belanja Pegawai,2024-04-01,219409668160.0
Aceh | Belanja Pegawai,2024-05-01,319178248595.0
Aceh | Belanja Pegawai,2024-06-01,481744889078.0
Aceh | Belanja Pegawai,2024-07-01,231467032793.0
Aceh | Belanja Pegawai,2024-08-01,314963716066.0
Aceh | Belanja Pegawai,2024-09-01,237147561371.0
Aceh | Belanja Pegawai,2024-10-01,213573141280.0
Aceh | Belanja Pegawai,2024-11-01,255922383847.0
Aceh | Belanja Pegawai,2024-12-01,576972249417.0
Aceh | Belanja Pegawai,2025-01-01,137410173349.0
Aceh | Belanja Pegawai,2025-02-01,158030530864.0
Aceh | Belanja Pegawai,2025-03-01,398402165340.0
Aceh | Belanja Pegawai,2025-04-01,482609345285.0
Aceh | Belanja Pegawai,2025-05-01,161506954708.0
Aceh | Belanja Pegawai,2025-06-01,357849300370.0
Aceh | Belanja Pegawai,2025-07-01,184431674923.0
Aceh | Belanja Pegawai,2025-08-01,204305289588.0
Aceh | Belanja Pegawai,2025-09-01,199822406090.0
Aceh | Belanja Pegawai,2025-10-01,186106632774.0
Aceh | Belanja Pegawai,2025-11-01,312407726185.0
Aceh | Belanja Pegawai,2025-12-01,295239419040.0
Aceh | Belanja Pegawai,2026-01-01,0.0
Aceh | Belanja Pegawai,2026-02-01,0.0
Aceh | Belanja Pegawai,2026-03-01,0.0
Aceh | Belanja Pegawai,2026-04-01,0.0
Aceh | Belanja Pegawai,2026-05-01,0.0
Aceh | Belanja Pegawai,2026-06-01,2050104947717.0
Aceh | Belanja Subsidi,2023-01-01,0.0
Aceh | Belanja Subsidi,2023-02-01,1755412500.0
Aceh | Belanja Subsidi,2023-03-01,3101280000.0
Aceh | Belanja Subsidi,2023-04-01,3329980000.0
Aceh | Belanja Subsidi,2023-05-01,0.0
Aceh | Belanja Subsidi,2023-06-01,75000000.0
Aceh | Belanja Subsidi,2023-07-01,2928700000.0
Aceh | Belanja Subsidi,2023-08-01,228150000.0
Aceh | Belanja Subsidi,2023-09-01,75300000.0
Aceh | Belanja Subsidi,2023-10-01,551100000.0
Aceh | Belanja Subsidi,2023-11-01,265545000.0
Aceh | Belanja Subsidi,2023-12-01,3206110000.0
Aceh | Belanja Subsidi,2024-01-01,0.0
Aceh | Belanja Subsidi,2024-02-01,0.0
Aceh | Belanja Subsidi,2024-03-01,0.0
Aceh | Belanja Subsidi,2024-04-01,160000000.0
Aceh | Belanja Subsidi,2024-05-01,32000000.0
Aceh | Belanja Subsidi,2024-06-01,2416680000.0
Aceh | Belanja Subsidi,2024-07-01,180000000.0
